Name,Game_Description,Serebii_In_Depth_Description
Steadfast,"The Pokémon's determination boosts the Speed stat each time the Pokémon flinches.","Speed raises by one level every time the Pokémon flinches."
Steam Engine,"Boosts the Pokémon's Speed stat drastically if hit by a Fire- or Water-type move.","When this Pokémon is hit by a Fire-type or Water-type move, its Speed is increased by 6 stages."
Steelworker,"Powers up Steel-type moves.",""
Steely Spirit,"Powers up ally Pokémon's Steel-type moves.","Increases the power of Steel-type moves used by this Pokémon by 50%."
Stench,"By releasing stench when attacking, this Pokémon may cause the target to flinch.","If the Pokémon uses a move that deals damage on the opponent, there is a chance the opponent flinches."
Sticky Hold,"Items held by the Pokémon are stuck fast and cannot be removed by other Pokémon.","This Pokémon’s item cannot be taken."
Storm Drain,"Draws in all Water-type moves. Instead of being hit by Water-type moves, it boosts its Sp. Atk.","Water-type moves are drawn to this Pokémon. Water-type moves will do no damage and the Pokémon's SP ATK is raised one stage."
Strong Jaw,"The Pokémon's strong jaw boosts the power of its biting moves.","Increases the power of biting moves by 50%."
Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.","The Pokémon will remain with 1 HP if it was going to be knocked out by a move when at full Hit Points, and it is immune to One Hit KO moves."
Suction Cups,"This Pokémon uses suction cups to stay in one spot to negate all moves and items that force switching out.","Negates moves that force switching out."
Super Luck,"The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.","Raises the critical-hit ratio of moves by one level."
Surge Surfer,"Doubles Speed during Electric Terrain.",""
Swarm,"Powers up Bug-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Bug-type moves is increased by 50%."
Sweet Veil,"Prevents itself and allies from falling asleep.",""
Swift Swim,"Boosts the Pokémon's Speed stat in rain.","When rainy, The Pokémon’s Speed doubles."
Symbiosis,"The Pokémon passes its item to an ally that has used up an item.","Passes the Pokémon's hold item to its adjacent ally when that ally consumes its hold item."
Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.","When this Pokémon becomes Poisoned, Paralyzed, or Burned, so does the opponent. However, Fire-type and Water Veil ability Pokémon cannot be Burned, Poison-type and Steel-type and Immunity ability Pokémon cannot be Poisoned, and Limber ability Pokémon cannot be Paralyzed."
Tangled Feet,"Raises evasion if the Pokémon is confused.","Pokémon’s evasion raises one level when Confused."
Tangling Hair,"Contact with the Pokémon lowers the attacker's Speed stat.","Lowers opponent's Speed by 1 stage when the opponent makes physical contact with the Pokémon."
Technician,"Powers up the Pokémon's weaker moves.","Moves with a base power of 60 or less are boosted in power by 50%."
Telepathy,"Anticipates an ally's attack and dodges it.","Prevents damage from team-mates during Double and Triple battles."
Teravolt,"Moves can be used regardless of Abilities.",""
Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.","Fire and Ice-type moves deal 50% damage."
Tinted Lens,"The Pokémon can use â€œnot very effectiveâ€ moves to deal regular damage.","Powers up “not very effective” moves."
Torrent,"Powers up Water-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Water-type moves is increased by 50%."
Tough Claws,"Powers up moves that make direct contact.","Increases the power of moves that make physical contact by 30%."
Toxic Boost,"Powers up physical attacks when the Pokémon is poisoned.","Attack stat increased by 50% when Poisoned."
Trace,"When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.","Ability becomes the same as that of the opponent. Switching this Pokémon out of battle restores its original ability. In a Double/Triple Battle, a random opponent’s ability will be copied."
Triage,"Gives priority to a healing move.","Healing moves have +3 Priority when used by this Pokémon."
Truant,"The Pokémon can't use a move the following turn if it uses one.","The Pokémon cannot use a move in the turn following one where it used a move, even if that move failed."
Turboblaze,"Moves can be used regardless of Abilities.",""
Unaware,"When attacking, the Pokémon ignores the target Pokémon's stat changes.","Foe’s stat modifications are ignored."
Unburden,"Boosts the Speed stat if the Pokémon's held item is used or lost.","Speed is doubled once the held item is consumed."
Unnerve,"Unnerves opposing Pokémon and makes them unable to eat Berries.","The opponent Pokémon will never use their held Berry while the Pokémon is in battle."
Victory Star,"Boosts the accuracy of its allies and itself.","Accuracy for the Pokémon and Allys is raised by 10%."
Vital Spirit,"The Pokémon is full of vitality, and that prevents it from falling asleep.","The Pokémon cannot be Asleep while having this ability."
Volt Absorb,"Restores HP if hit by an Electric-type move, instead of taking damage.","The Pokémon heals up to 1/4 of its maximum Hit Points when hit with Electric-type moves."
Wandering Spirit,"The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact.",""
Water Absorb,"Restores HP if hit by a Water-type move, instead of taking damage.","The Pokémon heals up to 1/4 of its maximum Hit Points when hit with Water-type moves."
Water Bubble,"Lowers the power of Fire-type moves done to the Pokémon and prevents the Pokémon from getting a burn.","Decreases Fire-type move power on the Pokémon by 50%. Increases power of Water-type moves used by the Pokémon by 100% before adding STAB. Prevents Burn."
Water Compaction,"Boosts the Pokémon's Defense stat sharply when hit by a Water-type move.","Increases Defense by 2 stages every time it is hit by a Water-type move."
Water Veil,"The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn.","This Pokémon cannot be Burned while having this ability."
Weak Armor,"Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.","When hit by an attack, the Pokémon's Defense is lowered by one stage but Speed is increased by two stages."
White Smoke,"The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats.","Opponents’ moves which lower this Pokémon’s stats have no effect. However this Pokémon may lower its own stats with its own moves."
Wimp Out,"The Pokémon cowardly switches out when its HP becomes half or less.","When the Pokémon's Hit Points hit 50% or less, the Pokémon will switch out. Works once per battle. The Pokémon will not switch out if it drops below 50% due to Confusion, Weather, use of Substitute or when the damage inflicted is by a Pokémon with the Sheer Force ability. It will not activate if health is brought back up above 50% due to a hold item."
Wonder Guard,"Its mysterious power only lets supereffective moves hit the Pokémon.","The Pokémon is only harmed by Super Effective damage, weather effects and condition effects."
Wonder Skin,"Makes status moves more likely to miss.","Makes non-damaging moves that are targeted at this Pokémon have the accuracy of 50%."
Zen Mode,"Changes the Pokémon's shape when HP is half or less.","When Hit Points get to 50% of maximum, the Pokémon changes form. The Pokémon reverts back to its standard form if it loses this ability or returns to over 50% of its Hit Points."
